# Mwm name	Generation time
US_Pennsylvania_Reading	4549.562641999999
Italy_Piemont_Torino	4523.849981
France_Pays de la Loire_Vendee	4471.492602
UK_England_North West England_Manchester	4469.785981
Ireland_Leinster	4467.387633
France_Languedoc-Roussillon_Herault	4466.320528
US_Michigan_Detroit	4465.773545
Poland_Kuyavian-Pomeranian Voivodeship	4454.328498
US_Missouri_Kansas	4435.402662
France_Aquitaine_Gironde	4423.744863000001
Spain_Community of Madrid	4420.500983999999
Japan_Kinki Region_Osaka_Osaka	4407.845157
France_Alsace_Bas-Rhin	4406.928457000001
Germany_North Rhine-Westphalia_Regierungsbezirk Munster_Recklinghausen	4403.568574999999
France_Lorraine_Moselle	4370.194309
Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Mulheim	4340.979089
Ghana	4284.466829
Argentina_Pampas	4266.740785
US_Oklahoma_Tulsa	4257.311355000001
Germany_Free State of Bavaria_Upper Bavaria_Ingolstadt	4245.563761
Spain_Galicia_North	4221.717592999999
US_Nebraska_West	4203.7964999999995
Spain_Andalusia_Sevilla	4179.735786
US_Alabama_Birmingham	4151.934907999999
US_Florida_Miami	4139.995558
US_South Dakota	4137.336705
France_Nord-Pas-de-Calais_Lille	4128.296719999999
Belgium_Hainaut	4127.167623
Peru_North	4102.66877
Greece_Decentralized Administration of Thessaly - Central Greece	4074.998746
Brazil_Parana_West	4074.174673
US_Kansas_Wichita	4073.720214
Austria_Burgenland	4040.838658
Australia_Victoria	4031.149434
UK_Wales	4018.6584619999994
US_Florida_Gainesville	4000.7112559999996
Brazil_Southeast Region_Espirito Santo	3993.2252430000003
Austria_Upper Austria_Linz	3989.898019
US_Virginia_Richmond	3986.394906
US_South Carolina_Columbia	3985.6324630000004
Germany_Saxony-Anhalt_Halle	3979.833273
France_Picardy_Oise	3979.6665769999995
Russia_Moscow	3977.996946
Chile_South	3974.091674
France_Poitou-Charentes_Charente	3968.0350510000003
US_Washington_Seattle	3966.2254660000003
Algeria_Coast	3965.1245910000002
US_Pennsylvania_Scranton	3964.826226
US_Wyoming	3947.5673180000003
Bolivia_North	3907.441517
Sudan_West	3902.5587569999993
Poland_West Pomeranian Voivodeship	3900.132401
Uzbekistan	3886.817233
Colombia_West	3847.4218370000003
Belgium_East Flanders	3837.9232800000004
Japan_Shikoku Region_Kyoto	3829.3491939999994
Germany_Berlin	3823.050192999999
Russia_Tatarstan	3822.803657
Belgium_Liege	3815.711695
Austria_Upper Austria_Wels	3793.412037
France_Aquitaine_Dordogne	3792.599536
US_California_San Diego	3764.2132239999996
Finland_Southern Finland_Helsinki	3746.9962220000007
Croatia_Central	3740.527616
Japan_Kyushu Region_Fukuoka	3739.218401
US_Oregon_Portland	3738.9355720000003
US_New Mexico_Albuquerque	3738.819047
US_Missouri_St Louis	3736.0362250000003
US_Virginia_Norfolk	3734.298083
Germany_Lower Saxony_Bremen_Munster	3723.900998
South Africa_Limpopo	3698.0854240000003
Poland_Lubusz Voivodeship	3688.6669180000004
Canada_Ontario_Toronto	3686.9330289999994
Russia_Chelyabinsk Oblast	3683.157126
India_Haryana	3670.540706
Netherlands_South Holland_Leiden	3661.416938
France_Burgundy_Yonne	3643.199126
Germany_Mecklenburg-Vorpommern	3641.8485459999997
Niger	3634.791881
Spain_Galicia_South	3587.8945339999996
Germany_Lower Saxony_Bremen_Bremen	3572.4544880000003
Poland_Pomeranian Voivodeship	3571.7724180000005
US_Texas_San Antonio	3563.707032
US_Illinois_Springfield	3528.015255
Ecuador_West	3490.918108
Syria	3480.502857
Netherlands_Overijssel_Enschede	3477.426836
Colombia_North	3468.660126
China_Sichuan	3452.0010880000004
China_Jiangsu	3451.465684
Botswana	3451.0184090000002
Brazil_Goias_Brasilia	3438.1437910000004
Germany_North Rhine-Westphalia_Regierungsbezirk Munster_Munster	3423.8621709999993
Japan_Kanto_Ibaraki	3406.7655880000007
Hungary_Kozep-Magyarorszag	3405.278399
Zimbabwe	3397.961491
Italy_Lazio	3397.4408379999995
